portal_title,type,url,begin,nuts,ags,accountable,email,twitter,facebook,hosting,technology,api,last_check
govdata - Datenportal für Deutschland,country+other,https://www.govdata.de/,,DE,,Christian Horn,info@govdata.de,https://twitter.com/govdata_de,https://www.facebook.com/govdata.de/,SEITENBAU GmbH,CKAN,https://ckan.govdata.de/api/3/action/package_list,2019-03-09
Baustelleninformationssystem des Bundes und der Länder,other,http://www.bast.de/DE/FB-F/Baustelleninformation/baustelleninformation_hidden_node.html,,,,,,,,,,,
Bundesamt für Kartographie und Geodäsie,other,http://www.geodatenzentrum.de/geodaten/gdz_rahmen.gdz_div?gdz_spr=deu&gdz_akt_zeile=5&gdz_anz_zeile=0&gdz_user_id=0,,,,,,,,Bundesamt für Kartographie und Geodäsie,Website,,2019-03-09
Bundesministerium für Verkehr und digitale Infrastruktur (BMVI),supreme,https://www.mcloud.de/,2016-05-18,,,Dr. Roland Goetzke,mcloud@bmvi.bund.de,,,ITZBund,,,2019-03-09
Deutsche Bahn,other,http://data.deutschebahn.com/,,,,,DBOpenData@deutschebahn.com,https://twitter.com/dbopendata,,,CKAN,https://data.deutschebahn.com/api/3/action/package_list,2019-03-09
Deutscher Wetterdienst,other,https://opendata.dwd.de/,,,,,,,,,,,
Geobasisdaten und Geodatendienste der Vermessungsverwaltung Baden-Württemberg,other,https://www.lgl-bw.de/lgl-internet/opencms/de/07_Produkte_und_Dienstleistungen/Open_Data_Initiative/,,,,,,,,,,,
OffeneDaten.de,other,https://offenedaten.de/,,,,,,,,,,,
Regionalverband Ruhr - Geodatenshop,other,http://www.geoshop.metropoleruhr.de/public/rvr/Startseite,,,,,,,,,,,
Baden-Württemberg,state,http://opendata.service-bw.de,2014-10-08,DE1,,,,,,,,,
Karlsruhe,city,https://transparenz.karlsruhe.de/,,DE122,8212000,,,,,,,,
Mannheim,city,https://opendata.mannheim.de/,2015-11-24,DE126,8222000,,,,,,,,
Freiburg im Breisgau,city,http://opendata.freiburg.de,,DE131,8311000,,,,,,,,
Ortenaukreis,district,http://www.ortenaukreis.de/Online-Dienste/Open-Data,,DE134,,,,,,,,,
Ulm,city,http://daten.ulm.de/,,DE144,8421000,,,,,,,,
Bayern,state,http://www.opendata.bayern.de/,,DE2,,,,,,,,,
München,city,http://www.opengov-muenchen.de,2014-12-19,DE212,9162000,,,,,,,,
Berlin,city+state,http://daten.berlin.de/,,DE3,11000000,,,,,,,,
Potsdam,city,https://opendata.potsdam.de/,2018-01-11,DE404,12054000,,,,,,,,
Freie Hansestadt Bremen,state,http://daten.bremen.de/,,DE5,,,,,,,,,
Hamburg,city+state,http://daten.hamburg.de/,,DE6,2000000,,,,,,,,
Frankfurt am Main,city,http://offenedaten.frankfurt.de/,2014-10-15,DE712,6412000,,,,,,,,
Neubrandenburg,city,http://www.neubrandenburg.de/opendata/,,DE802,13071107,,,,,,,,
Rostock,city,http://www.opendata-hro.de/,,DE803,13003000,,,,,,,,
Braunschweig,city,http://www.braunschweig.de/leben/stadtplanung_bauen/geoinformationen/opengeodata.html,,DE911,3101000,,,,,,,,
Wennigsen (Deister),city,http://data.wennigsen.net/,,DE929020,3241020,,,,,,,,
Landkreis Lüneburg,district,https://open.lklg.net/,2016-08-18,DE935,,,,,,,,,
Nordrhein-Westfalen,state,https://open.nrw/de/dat_kat,,DEA,,,,,,,,,
Niederrhein (Region),district,http://offenesdatenportal.de/,2015-04-16,,,,,,,,,,
Düsseldorf,city,https://opendata.duesseldorf.de/,2017-12-06,DEA11,5111000,,,https://twitter.com/opendataddorf,,Stadt Köln,DKAN,https://opendata.duesseldorf.de/api/3/action/package_list,2019-03-12
Krefeld,city,https://www.offenesdatenportal.de/organization/krefeld,2016-01-13,DEA14,5114000,Florian Reykers,florian.reykers@krefeld.de,,,KRZN,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=krefeld,2019-03-12
Mönchengladbach,city,http://offenedaten.moenchengladbach.de/,2015-05-11,DEA15,5116000,,offenedaten@moenchengladbach.de,https://twitter.com/OpenDataMG,,Stadt Mönchengladbach,TYPO3,,2019-03-24
Mülheim an der Ruhr,city,http://open.muelheim-ruhr.de,,DEA16,5117000,,,-,,Stadt Mülheim an der Ruhr,DKAN,https://geo.muelheim-ruhr.de/api/3/action/package_list,2019-03-12
Wuppertal,city,http://www.offenedaten-wuppertal.de/,2016-09-05,DEA1A,5124000,,offenedaten@stadt.wuppertal.de,https://twitter.com/OpenData_Wtal,,Stadt Köln,DKAN,https://www.offenedaten-wuppertal.de/api/3/action/package_list,2019-03-12
Kreis Kleve,district,https://www.offenesdatenportal.de/organization/kreis-kleve,,DEA1B,,,,,,KRZN,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=kreis-kleve,2019-03-12
Kleve,city,https://www.offenesdatenportal.de/organization/stadt-kleve,,DEA1B036,5154036,,,,,KRZN,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=stadt-kleve,2019-03-12
Wachtendonk,city,https://www.offenesdatenportal.de/organization/gemeinde-wachtendonk,,DEA1B060,5154060,,,,,KRZN,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=gemeinde-wachtendonk,2019-03-12
Dormagen,city,https://opendata.dormagen.de,2017-12-07,DEA1D004,5162004,,opendata@stadt-dormagen.de,,,OpenDataSoft,OpenDataSoft,https://opendata.dormagen.de/api/v1/console/datasets/1.0/search/,2019-03-24
Meerbusch,city,https://opendata.meerbusch.de/,2017-02-11,DEA1D022,5162022,,opendata@meerbusch.de,https://twitter.com/OpenMeerbusch,,Viderum,CKAN,https://opendata.meerbusch.de/api/3/action/package_list,2019-03-24
Kreis Viersen,district,https://www.offenesdatenportal.de/organization/kreis-viersen,,DEA1E,,Michael Stein,michael.stein@kreis-viersen.de,,,KRZN,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=kreis-viersen,2019-03-12
Moers,city,http://offenedaten.moers.de/,,DEA1F024,5170024,Stephan Bernoth und Thorsten Magerstedt,offenedaten@moers.de,https://twitter.com/opendatamoers,,KRZN,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=moers,2019-03-12
Wesel,city,http://opendata.wesel.de/,,DEA1F048,5170048,Herr Scholten und Herr Bohm,informationstechnik@wesel.de,,,KRZN,CKAN,https://www.offenesdatenportal.de/api/3/action/organization_activity_list?id=stadt-wesel,2019-03-12
Bonn,city,http://opendata.bonn.de/,,DEA22,5314000,Sven Hense,opendata@bonn.de,https://twitter.com/opendatabonn,,Stadt Köln,DKAN,https://opendata.bonn.de/api/3/action/package_list,2019-03-12
Köln,city,http://offenedaten-koeln.de/,,DEA23,5315000,Sabine Möwes,e-government@stadt-koeln.de,https://twitter.com/OpenDataKoeln,,Stadt Köln,DKAN,https://offenedaten-koeln.de/api/3/action/package_list,2019-03-12
Heimbach (Eifel),city,http://offenedaten.kdvz-frechen.de/group/heimbach,2016-11-08,DEA26012,5358012,,,,,,,,
Hürtgenwald,city,http://offenedaten.kdvz-frechen.de/group/h%C3%BCrtgenwald,2016-11-08,DEA26016,5358016,,,,,,,,
Jülich,city,http://offenedaten.kdvz-frechen.de/group/j%C3%BClich,2016-11-08,DEA26024,5358024,,,,,,,,
Kreuzau,city,http://offenedaten.kdvz-frechen.de/group/kreuzau,2016-11-08,DEA26028,5358028,,,,,,,,
Langerwehe,city,http://offenedaten.kdvz-frechen.de/group/langerwehe,2016-11-08,DEA26032,5358032,,,,,,,,
Linnich,city,http://offenedaten.kdvz-frechen.de/group/linnich,2016-11-08,DEA26036,5358036,,,,,,,,
Merzenich,city,http://offenedaten.kdvz-frechen.de/group/merzenich,2016-11-08,DEA26040,5358040,,,,,,,,
Titz,city,http://offenedaten.kdvz-frechen.de/group/titz,2016-11-08,DEA26056,5358056,,,,,,,,
Vettweiß,city,http://offenedaten.kdvz-frechen.de/group/vettwei%C3%9F,2016-11-08,DEA26060,5358060,,,,,,,,
Bedburg,city,http://offenedaten.kdvz-frechen.de/group/bedburg,2017-04-29,DEA27004,5362004,,,,,,,,
Bergheim,city,http://offenedaten.kdvz-frechen.de/group/bergheim,2016-11-08,DEA27008,9185118,,,,,,,,
Brühl (Rheinland),city,http://offenedaten.kdvz-frechen.de/group/br%C3%BChl,2016-11-08,DEA27012,5362012,,,,,,,,
Elsdorf (Rheinland),city,http://offenedaten.kdvz-frechen.de/group/elsdorf,2016-11-08,DEA27016,5362016,,,,,,,,
Kerpen,city,http://offenedaten.kdvz-frechen.de/group/kerpen,2016-11-08,DEA27032,5362032,,,,,,,,
Wesseling,city,http://offenedaten.kdvz-frechen.de/group/wesseling,2016-11-08,DEA27040,5362040,,,,,,,,
Kreis Euskirchen,district,http://offenedaten.kdvz-frechen.de/group/kreis-euskirchen,2016-11-08,DEA28,,,,,,,,,
Bad Münstereifel,city,http://offenedaten.kdvz-frechen.de/group/bad-m%C3%BCnstereifel,2016-11-08,DEA28004,5366004,,,,,,,,
Kall,city,http://offenedaten.kdvz-frechen.de/group/kall,2016-11-08,DEA28024,5366024,,,,,,,,
Aachen,city,http://offenedaten.aachen.de/,,DEA2D002,5334002,,,,,,,,
Gelsenkirchen,city,https://opendata.gelsenkirchen.de/,2017-05-23,DEA32,5513000,,,,,,,,
Münster (Westfalen),city,https://www.stadt-muenster.de/open-data.html,,DEA33,5515000,Thomas Werner und Astrid Reich,opendata@citeq.de,,,,Typo3,,2019-03-12
Bochum,city,http://www.bochum.de/opendata,,DEA51,5911000,,,,,,,,
Herne,city,https://www.herne.de/Stadt-und-Leben/Stadtfakten/Open-Data/,,DEA55,5916000,,,,,,,,
Arnsberg,city,http://offenedaten.arnsberg.de,,DEA57004,5958004,,,,,,,,
Rheinland-Pfalz,state,http://daten.rlp.de/,,DEB,,,,,,,,,
Sachsen,state,http://www.opendata.sachsen.de/,,DED,,,,,,,,,
Chemnitz,city,http://portal-chemnitz.opendata.arcgis.com/,2017-03-07,DED41,14511000,,,,,,,,
Leipzig,city,https://opendata.leipzig.de,,DED51,14713000,,,,,,,,
Halle (Saale),city,http://www.daten.halle.de,,DEE02,15002000,,,,,,,,
Jena,city,https://opendata.jena.de/,2016-12-20,DEG03,16053000,,,,,,,,
Altenburg,city,http://www.altenburg.eu/sixcms/detail.php,,DEG0M001,16077001,,,,,,,,
Bielefeld,city,https://open-data.bielefeld.de/,,DEA41,5711000,,,,,,,,
Siegburg,city,http://offenedaten.kdvz-frechen.de/group/siegburg,,DEA2C060,5382060,,,,,,,,
Niederzier,city,http://offenedaten.kdvz-frechen.de/group/niederzier,,DEA26048,5358048,,,,,,,,
Nörvenich,city,http://offenedaten.kdvz-frechen.de/group/n%C3%B6rvenich,,DEA26052,5358052,,,,,,,,
Brandenburg,state,https://datenadler.de/,,,,,,,,,,,
